STUDENT_ID,SUBJECT_NAME,GRADE_LEVEL,LETTER_GRADE
180908,World Language,9,I
64708,History,6,C-
195835,Science,7,I
117994,Science,8,I
181128,World Language,10,I
122485,Science,6,B
178612,World Language,10,I
95967,World Language,9,I
195016,English,8,I
181134,World Language,10,I
83089,Math,7,I
135770,Mentor,,
118222,Science,8,I
83992,Math,7,I
99531,World Language,10,I
145275,History,9,I
99531,History,8,I
181797,English,9,I
191226,History,7,I
89705,English,6,I
86822,Math,9,I
183242,Math,6,I
191228,English,7,I
191224,Science,7,I
132764,Electives,9,I
191224,English,7,I
196481,English,6,I
148370,English,11,I
196877,Math,7,I
84996,Science,8,I
95728,Mentor,,
85676,Mentor,,
196610,History,6,I
197285,Science,7,I
187458,Electives,10,I
167411,English,12,I
187454,Electives,10,I
85392,English,7,I
68615,History,6,I
19820,Mentor,,
171642,Electives,8,N/A
196697,Electives,8,N/A
156095,Electives,8,N/A
187463,Electives,10,I
197085,Math,7,I
197085,Electives,7,I
197085,Math,10,I
103868,English,9,I
157446,English,8,C
197404,English,10,I
63153,English,10,A-
181341,Math,11,I
195872,Math,8,I
147488,Science,6,I
129943,History,7,C+
20303,Math,8,I
54035,History,9,C
157280,English,8,B+
129955,History,7,C+
184197,English,6,I
147442,Science,6,I
180407,English,12,I
185889,Science,7,I
66689,Science,8,B
129955,Math,7,C
195870,English,8,I
181966,Science,6,I
65134,Math,7,C-
129957,History,7,I
73886,English,6,B
185879,Science,7,N/A
157554,English,8,I
147458,Science,6,A
181055,Math,11,I
147616,Science,6,I
79904,English,5,B+
181357,Math,11,I
129959,History,7,C
195868,English,8,I
181065,Math,11,I
94056,English,7,B
73581,Science,9,I
147520,Science,6,A
36751,Math,10,A-
57498,English,8,A
184284,Math,6,I
168976,History,12,I
181061,Math,11,I
184656,Math,8,I
184656,Electives,6,I
73936,English,6,B+
175083,English,9,I
184656,English,8,I
181956,Science,9,I
181956,Mentor,,
48656,English,8,C
184656,Electives,7,I
184654,English,10,I
195848,English,8,I
13727,Math,7,I
20281,Science,8,B
20151,English,7,I
184284,Science,6,I
193009,History,12,I
181367,Math,11,I
195890,Math,6,I
154589,Science,7,B+
39989,English,10,I
154735,History,6,I
154767,History,6,I
17703,Math,9,I
154839,Science,7,I
89315,Math,9,I
135776,Mentor,,
155451,History,6,I
26528,Math,9,I
179552,English,6,I
181053,Math,11,I
17069,Science,10,C
180840,Math,11,I
155629,History,6,I
181091,Math,11,N/A
155747,History,6,I
89465,Math,9,N/A
172704,Science,9,I
181069,Math,11,I
155771,History,6,I
119216,Math,7,I
191244,Mentor,,
89481,Math,9,I
89565,Math,9,N/A
89569,Math,9,I
170724,Mentor,,
155799,History,6,I
181099,Math,11,I
181103,Math,11,I
130001,History,8,I
47258,History,7,A+
147604,Science,8,I
155831,History,6,I
155837,History,6,I
170623,Math,9,I
89819,English,6,I
31388,Science,6,B+
155865,History,6,I
170894,Math,9,I
156005,History,6,I
181109,Math,11,I
89835,English,6,I
172718,Science,9,I
54397,English,9,A+
119310,Math,7,I
182889,Math,11,I
89887,English,6,I
181059,Math,11,I
20347,Electives,8,N/A
20371,Electives,8,N/A
89905,English,6,I
147472,Science,8,I
181063,Math,11,N/A
54303,Math,10,B
89911,English,6,I
68337,History,8,B
172023,Math,9,I
179522,English,6,I
181381,Math,11,I
172214,Math,9,I
173018,Science,9,I
90233,English,6,I
90265,English,6,I
130009,History,7,I
168844,Math,8,I
118726,Math,7,I
90273,English,6,I
119346,Math,7,I
101151,English,8,I
68335,History,8,B-
175087,Math,9,I
90924,History,6,A+
184843,English,7,I
63603,History,8,A-
175089,Math,9,I
135778,Mentor,,
175081,Math,9,I
83174,Math,6,I
181089,Math,11,I
179540,English,6,I
184835,English,7,I
183871,Math,9,I
184837,English,7,I
82867,Science,6,I
90277,English,6,I
175813,English,6,I
181075,Math,11,I
186997,Math,9,I
135780,Mentor,,
187889,Math,9,I
90301,English,6,I
181379,Math,11,I
187887,Math,9,I
188995,Math,9,I
90319,English,6,I
184849,English,7,I
184851,English,7,I
195893,History,8,I
17536,English,9,I
191359,Math,9,I
184857,English,7,I
64900,Math,7,B
181107,Math,11,N/A
197435,Electives,12,I
184865,English,7,I
187501,English,9,I
172021,Math,9,I
73812,Mentor,,
184278,Science,6,I
73816,Mentor,,
73814,Mentor,,
73820,Mentor,,
147735,English,6,I
73824,Mentor,,
73826,Mentor,,
73828,Mentor,,
140126,English,11,I
135788,Mentor,,
195897,Science,10,I
135790,Mentor,,
73834,Mentor,,
73836,Mentor,,
177523,English,6,I
185927,Science,6,I
73838,Mentor,,
73840,Mentor,,
184276,Science,6,I
150688,Mentor,,
184294,Science,6,I
150620,Mentor,,
140274,English,11,I
187526,Science,7,N/A
150558,Mentor,,
150624,Mentor,,
58054,Math,8,I
34760,Math,6,I
73848,Mentor,,
150638,Mentor,,
73852,Mentor,,
150570,Mentor,,
73850,Mentor,,
150518,Mentor,,
150510,Mentor,,
150524,Mentor,,
64620,English,6,B+
150526,Mentor,,
150562,Mentor,,
150610,Mentor,,
150536,Mentor,,
150608,Mentor,,
150652,Mentor,,
73860,Mentor,,
150606,Mentor,,
73862,Mentor,,
150540,Mentor,,
117600,Math,7,I
163894,English,8,I
135794,Mentor,,
73864,Mentor,,
150588,Mentor,,
73866,Mentor,,
150602,Mentor,,
187526,History,6,N/A
150498,Mentor,,
150612,Mentor,,
73868,Mentor,,
73870,Mentor,,
150600,Mentor,,
150506,Mentor,,
150556,Mentor,,
73874,Mentor,,
150626,Mentor,,
73876,Mentor,,
150528,Mentor,,
187526,Math,9,
150500,Mentor,,
187526,Math,12,
187526,History,8,N/A
150514,Mentor,,
73880,Mentor,,
150656,Mentor,,
16999,Electives,10,I
150502,Mentor,,
150660,Mentor,,
73882,Mentor,,
150690,Mentor,,
135796,Mentor,,
150692,Mentor,,
73884,Mentor,,
150696,Mentor,,
73886,Mentor,,
150698,Mentor,,
184869,Mentor,,
73888,Mentor,,
73890,Mentor,,
187526,English,5,
187526,History,9,N/A
181067,Math,11,I
73892,Mentor,,
73894,Mentor,,
73896,Mentor,,
73898,Mentor,,
187526,Math,9,N/A
197193,Mentor,,
73900,Mentor,,
73902,Mentor,,
197193,English,6,I
187526,Math,7,N/A
73904,Mentor,,
187526,Electives,12,N/A
73906,Mentor,,
184879,English,7,I
181377,Math,11,I
190202,Math,11,N/A
195903,Math,6,I
181962,Mentor,,
187526,Electives,9,N/A
195908,Math,6,I
100397,English,8,I
14145,English,8,I
184887,English,7,I
14257,English,8,I
73912,Mentor,,
100427,English,8,I
53319,Electives,8,N/A
78868,English,9,B-
100429,English,8,I
73914,Mentor,,
135804,Mentor,,
195928,English,7,I
14585,English,8,I
101265,English,8,I
187526,Electives,8,N/A
187526,Electives,8,N/A
175483,English,6,I
122519,English,6,A-
103816,English,9,I
184891,English,7,I
101275,English,8,I
73916,Mentor,,
101433,English,8,I
179761,History,9,I
179761,History,7,I
181983,English,7,I
187526,Math,9,N/A
73918,Mentor,,
179470,English,6,I
179761,Electives,6,I
135806,Mentor,,
181985,English,7,I
73920,Mentor,,
181987,English,7,I
179761,Electives,5,I
181989,English,7,I
179761,Math,7,I
179761,English,9,I
73922,Mentor,,
117704,Math,8,I
79472,Science,7,C+
195874,Math,11,I
73924,Mentor,,
195934,Math,7,I
184897,English,7,I
169063,Science,9,I
184901,English,7,I
90185,English,8,B
94293,Math,9,I
26541,Math,9,I
89385,Math,9,N/A
73928,Mentor,,
179464,English,6,I
184903,English,7,I
89567,Math,9,I
75522,Science,5,B+
89591,Math,9,I
118110,Math,8,I
170892,Math,9,I
170890,Math,9,I
73930,Mentor,,
171475,Math,9,I
172019,Math,9,N/A
118226,Math,8,I
73934,Mentor,,
172441,Math,9,I
187526,Electives,11,N/A
135810,Mentor,,
73938,Mentor,,
73936,Mentor,,
73940,Mentor,,
183274,History,6,I
79732,History,5,A-
157910,English,7,B-
130099,Math,6,B+
184476,Math,9,I
90047,Science,8,A+
180338,Math,9,I
54017,History,9,B
73942,Mentor,,
83196,English,6,I
39135,Science,9,I
189342,Math,9,I
197438,Electives,7,N/A
189344,Math,9,I
73944,Mentor,,
14291,English,7,I
195936,Math,7,I
130153,Math,6,B
73946,Mentor,,
57662,English,8,B+
71017,Science,5,I
197193,Math,6,N/A
197193,History,6,I
39139,Science,9,I
141660,English,10,I
175543,English,6,I
71051,Science,5,I
184911,English,7,I
195936,Math,7,I
39159,Science,9,I
197452,Science,9,I
133014,History,6,I
92057,History,6,I
73950,Mentor,,
197452,Mentor,,
150754,History,6,I
137545,Science,7,I
92117,Science,6,C
94068,History,7,A+
187526,Science,10,N/A
195934,English,7,I
73954,Mentor,,
195934,Electives,10,I
185278,English,6,I
130173,History,8,B
17137,Math,9,I
73958,Mentor,,
19720,Math,8,C
185290,English,6,I
39221,Science,9,A-
175559,English,6,I
54535,Electives,9,I
141952,English,10,I
79163,Science,9,I
179524,English,6,I
195936,English,7,I
92159,Science,6,C
63223,English,6,B-
195936,Math,10,I
92129,Science,6,I
53985,Science,9,A
68405,English,6,I
185414,English,6,I
195934,Science,7,I
68415,English,6,I
73962,Mentor,,
145361,History,9,C+
73964,Mentor,,
187214,Math,6,I
197452,Math,9,I
187526,History,10,I
187526,English,6,I
187526,Math,8,I
135812,Mentor,,
187526,History,12,I
73968,Math,6,I
50501,English,7,I
73972,Mentor,,
11864,English,7,I
184913,English,7,I
73970,Mentor,,
187526,English,8,I
187526,Electives,10,I
142272,English,10,I
35688,Math,6,B-
187526,Science,7,I
73976,Mentor,,
73978,Mentor,,
194832,Science,7,I
73980,Mentor,,
35624,Math,6,C+
73982,Mentor,,
73984,Mentor,,
184831,World Language,7,A-
129937,Math,7,I
73986,Mentor,,
130175,History,8,A
73988,Mentor,,
34668,History,6,I
73990,Mentor,,
34666,History,6,I
194832,History,7,I
73992,Mentor,,
194832,Math,7,I
130289,English,7,I
73994,Mentor,,
40600,English,6,I
73996,Mentor,,
40612,History,6,I
40614,English,6,I
73998,Mentor,,
184921,English,7,I
74002,Mentor,,
74000,Mentor,,
76832,History,10,B
187526,Electives,10,N/A
187526,Electives,7,N/A
97123,English,7,I
89347,Math,9,I
184925,English,7,I
157654,Electives,8,I
195838,Mentor,,
157746,Electives,8,A+
130141,History,6,B-
157748,Electives,8,A+
157750,Electives,8,I
157922,Electives,8,I
90269,English,6,I
173725,Science,6,I
173825,Science,6,I
179572,English,6,I
173899,Science,6,I
173955,Science,6,I
135818,Mentor,,
173957,Science,6,I
173991,Science,6,I
73872,Mentor,,
73952,Mentor,,
73966,Mentor,,
174323,Science,6,I
174367,Science,6,I
192941,Science,7,I
193071,History,11,I
192992,Science,7,I
188338,Mentor,,
31368,Math,6,C
175845,English,6,I
175359,History,7,I
86730,English,10,I
175371,History,7,I
175381,History,7,I
89713,History,7,I
124098,Science,9,A
175395,History,7,I
175401,History,7,I
197113,History,7,I
188344,English,8,I
188362,Math,6,I
197123,History,7,I
175445,History,7,I
89803,History,7,I
86610,English,10,I
135820,Mentor,,
81180,Science,6,I
90173,History,7,I
86644,English,10,I
196697,Math,6,I
86682,English,10,I
81228,Science,6,I
81274,Science,6,I
64432,History,6,A-
86806,English,10,I
20117,Electives,8,N/A
157132,Electives,8,I
86694,English,10,I
8247,History,9,A-
86700,English,10,I
157242,Electives,8,I
157670,Electives,8,I
175423,English,6,I
86808,English,10,I
86718,English,10,I
179506,English,6,I
86810,English,10,I
89761,English,6,I
20129,Electives,8,N/A
86778,English,10,I
35442,Math,9,I
96703,Science,6,I
194841,History,9,I
86830,English,10,I
96241,History,7,I
96597,Science,6,I
187526,World Language,8,N/A
96723,Science,6,I
137739,Science,8,B-
90906,Science,6,A-
18845,Science,8,I
54357,English,9,A
175459,English,6,I
91488,Electives,6,N/A
20147,Electives,8,I
79290,English,9,B-
66753,Science,8,C+
20149,Electives,8,N/A
154721,Science,6,I
34823,English,10,I
177554,English,8,I
154985,Math,8,I
155027,Math,8,I
177554,Math,6,I
181439,History,9,I
155041,Math,8,I
155047,Math,8,I
177554,Math,8,I
177554,English,6,I
155109,Math,8,I
177554,English,10,I
155153,Science,6,I
34825,English,10,I
187526,Math,7,I
155157,Math,8,I
34831,English,10,I
155235,Math,8,I
34859,English,10,I
63873,Science,7,A+
63895,Science,7,A+
34877,English,10,I
155307,Math,8,I
20175,Electives,8,N/A
34879,English,10,I
63925,Science,7,A+
187526,Math,11,I
63963,Science,7,A
34885,English,10,I
155331,Math,8,A
155343,Math,8,I
176601,English,10,I
20177,Electives,8,N/A
35668,English,10,I
34933,English,10,I
155597,Science,6,I
155629,Science,6,I
79312,Science,9,I
70150,Science,5,B
54137,English,10,I
34969,English,10,I
130328,Science,6,B-
155717,Science,6,I
184274,Science,6,I
155735,Science,6,B-
184944,English,7,I
34971,English,10,I
155747,Science,6,I
64520,Science,6,A-
63749,Math,6,B+
68377,English,10,I
155757,Science,6,I
155781,Science,6,I
63763,Math,6,A-
17157,Science,10,I
155825,Science,6,I
34720,Math,6,I
68665,History,6,I
35710,History,6,I
187526,Math,9,I
66839,Science,7,A
68673,History,6,I
20209,Electives,8,N/A
69552,Science,9,A-
72371,Science,7,A-
91168,Science,6,B+
183840,Science,10,I
155935,Math,8,I
20215,Electives,8,N/A
81178,English,6,I
155969,Math,8,I
155971,Science,6,I
155981,Science,6,I
81212,English,6,I
155983,Math,8,I
54487,Electives,9,I
179528,English,6,I
70318,Electives,9,I
19824,Mentor,,
20217,Electives,8,N/A
156055,Science,6,I
175523,English,6,I
20219,Electives,8,N/A
150332,History,6,I
17079,Electives,10,A-
181395,Math,9,I
197301,Math,9,I
195866,Math,8,I
63225,Math,6,A+
75030,World Language,9,A-
81236,English,6,I
20239,Electives,8,N/A
159559,History,6,I
81244,English,6,I
159629,History,6,I
169971,History,8,I
159631,History,6,I
95255,Science,7,I
20245,Electives,8,N/A
64744,Science,8,B-
75590,History,5,I
20247,Electives,8,I
152948,English,6,I
75622,History,5,I
63249,Math,6,B
174885,History,6,I
197388,Science,7,A-
166876,English,12,I
168746,Science,7,A+
153644,Math,7,I
195325,English,10,I
184934,English,7,I
150362,Science,7,B
85676,English,7,B
195860,English,9,I
188352,Science,9,I
8030,History,8,N/A
66825,Science,8,B+
20261,Electives,8,A-
168754,Science,7,I
184936,English,7,I
150376,Science,7,I
168752,Science,7,A+
48683,English,8,B
7717,Electives,9,I
168750,Science,7,A+
20273,Electives,8,N/A
168762,Science,7,A+
19826,Mentor,,
19832,Mentor,,
8034,History,8,N/A
7750,Electives,9,I
49277,English,8,B
70314,Electives,9,I
168766,Science,7,A-
68347,Math,8,C+
77615,Math,6,I
184938,English,7,I
168760,Science,7,A+
95781,Math,9,I
184940,English,7,I
184972,English,7,I
20279,English,7,I
188407,Math,5,I
195879,English,7,I
182027,English,6,I
182067,English,6,I
14515,English,7,I
195756,English,6,I
184948,English,7,I
168776,Science,7,A+
20277,Electives,8,N/A
169249,Science,7,A+
154991,Math,8,I
168778,Science,7,I
68733,History,6,I
81292,Math,6,I
54883,Electives,9,I
169785,Science,7,A
184942,English,7,I
184978,Math,7,I
12839,Math,8,I
20289,Electives,8,N/A
8047,Science,8,A+
188364,Math,6,I
68735,History,6,I
184980,Math,5,I
153628,Math,8,I
188370,Math,6,I
155105,Math,8,I
20293,Electives,8,N/A
8052,Science,8,A-
153628,English,8,I
12933,Math,8,I
179514,English,6,I
7895,Electives,9,I
184952,English,7,I
20297,Electives,8,N/A
188372,Math,6,I
8052,History,8,N/A
95279,English,7,C-
8067,History,8,N/A
68737,History,6,I
68739,History,6,I
94309,Math,6,I
20313,Electives,8,I
13619,Math,8,I
156141,Math,8,I
182017,Mentor,,
53651,Math,6,I
184958,English,7,I
188423,Math,5,I
184966,English,7,I
53731,Science,6,I
188384,Math,6,I
118630,English,7,I
184960,English,7,I
8079,Science,8,A+
53533,Science,6,I
13697,Math,8,I
184962,English,7,I
188413,Math,5,I
188386,Math,6,I
20319,Electives,8,N/A
188388,Math,6,I
184964,English,7,I
53731,English,6,I
185102,Math,9,I
188399,English,11,I
54347,Science,9,B-
53739,English,6,I
20325,English,8,I
13861,Math,8,I
63865,History,7,B-
95822,English,6,I
8095,History,8,N/A
150356,Science,7,C
184968,English,7,I
188390,Math,6,I
17083,Science,10,I
20323,Electives,8,I
184205,Science,6,I
8096,History,8,N/A
168900,Science,7,A+
13919,Math,8,I
188394,Math,6,I
8098,Science,8,A+
64982,English,8,C+
184989,English,7,I
8098,English,8,A
20325,Electives,8,I
51102,History,6,I
47172,Science,7,A-
47188,Science,7,A+
95801,Science,8,A+
53585,Science,6,I
66991,Math,7,B
147624,Electives,8,N/A
175789,English,6,I
8105,Science,8,A+
137197,History,8,I
142952,History,9,I
20329,Electives,8,N/A
143474,English,10,I
8105,History,8,N/A
153632,Science,8,I
161708,Science,8,I
147608,Electives,8,I
20333,Electives,8,N/A
188331,Mentor,,
20333,English,7,I
53635,Science,6,I
8111,Science,8,A+
19844,Mentor,,
13927,Math,8,I
188331,Science,6,I
167090,Math,9,I
68761,History,6,I
53689,Science,6,I
153616,Math,8,I
167094,Math,9,I
8117,English,8,A
167098,Math,9,I
53707,Science,6,I
20349,Electives,8,N/A
81292,Math,5,I
14063,Math,8,I
8117,Math,8,C+
53719,Science,6,I
63775,Science,6,A-
153616,English,8,I
153616,Science,8,I
99273,Math,5,I
68787,History,6,I
188403,Math,5,I
8117,History,8,N/A
99131,Math,5,I
53745,Science,6,I
16965,Electives,10,A
14927,Math,8,I
68793,History,6,I
99149,Math,5,I
53757,Science,6,I
20353,Electives,8,N/A
8163,Science,7,C
188405,Math,5,I
99161,Math,5,I
99257,Math,5,I
16995,Electives,10,B+
26585,Math,8,I
81192,Math,7,I
169332,Science,7,B+
188409,Math,5,I
68803,History,6,I
70156,Math,5,I
168900,History,7,A+
8163,History,7,B
72007,History,8,A-
68809,History,6,I
99863,Math,5,I
53859,Science,6,I
8164,Science,7,I
188419,Math,5,I
95822,Science,6,I
17019,Electives,10,A+
54513,Electives,9,I
184288,Science,6,I
8164,History,7,B
184296,Science,6,I
86588,English,10,I
17033,Electives,10,A
72025,Math,7,B-
53481,Science,6,I
78619,English,6,I
8165,English,7,A
188417,Math,5,I
153610,Math,7,I
53491,Science,6,I
86612,English,10,I
78619,Science,6,I
53493,Science,6,I
86628,English,10,I
153610,English,7,I
45080,Math,8,I
20361,Electives,8,N/A
79159,Science,9,C
70046,Math,5,B-
153610,Science,7,I
86666,English,10,I
86668,English,10,I
8165,History,7,A
53495,Science,6,I
53513,Science,6,I
169336,Science,7,C
17057,Electives,10,A-
70064,Math,5,I
86604,English,10,I
86804,English,10,I
45082,Math,8,I
184193,Science,6,I
8166,History,7,A+
187442,Math,9,I
20363,Electives,8,I
37962,History,6,I
169105,History,12,I
191197,English,6,I
101513,English,8,I
8170,History,7,B+
183430,Mentor,,
38296,History,6,I
17127,Electives,10,A+
8173,Science,7,I
45118,Math,8,I
86768,Math,11,I
194172,Math,9,I
20379,English,7,C-
194185,Math,9,I
38556,History,6,A+
195893,Science,8,I
45130,Math,7,I
17145,Electives,10,B+
70142,Math,5,I
157668,Science,8,C
8174,Science,7,B
194188,Math,9,I
194201,Math,9,I
20381,Electives,8,I
194203,Math,9,I
195936,History,7,I
8174,History,7,I
195934,Math,10,I
194205,Math,9,I
17149,Electives,10,A-
171793,Science,7,I
194207,Math,9,I
156508,English,6,I
64065,Math,6,C+
72067,Math,8,A
8175,Math,7,B
171799,Science,7,I
194213,Math,9,I
194219,Math,9,I
20387,Electives,8,N/A
53347,Math,8,I
45286,Math,5,I
183430,Math,10,I
181966,History,6,I
153622,Science,8,I
194225,Math,9,I
8176,Science,7,B
183430,History,10,I
181966,English,6,I
153622,History,8,I
45286,Math,8,I
175138,Math,7,B
172133,Science,11,I
96359,Math,7,N/A
172029,Math,6,I
53351,Math,8,I
45506,Science,6,I
182801,Science,7,I
53357,Math,8,I
53361,Math,8,I
17151,Electives,10,A-
172190,Science,9,I
172202,History,11,I
20391,Electives,8,I
53377,Math,8,I
8180,English,7,A
171654,Electives,8,N/A
45628,Math,7,I
188437,English,11,I
53411,Math,8,I
8180,History,7,A
8180,Math,7,I
45628,Math,6,I
20399,English,7,B+
53427,Math,8,I
20395,Electives,8,N/A
53817,Math,8,I
176572,Science,8,B
53821,Math,8,I
25040,Electives,8,N/A
45698,Math,6,I
53835,Math,8,I
177686,Science,6,B+
179609,Science,7,A+
68825,History,6,I
26532,Electives,8,N/A
169714,Science,9,I
53875,Math,8,I
175130,Math,8,I
68046,Math,7,A+
70190,Math,5,I
54671,Electives,9,I
188442,English,11,I
69770,Electives,9,I
188476,Math,6,I
184478,Science,6,I
68841,History,6,I
188444,English,11,I
184478,English,6,I
197303,Science,6,I
197305,Science,6,I
80123,Mentor,,
80125,Mentor,,
184478,History,6,I
80123,Science,7,B
63313,English,8,C-
80127,Mentor,,
188448,English,11,I
8186,Science,7,C
184478,English,6,N/A
63361,English,8,B
147460,Electives,8,N/A
197309,Science,6,I
197311,Science,6,I
72127,Science,7,A
80129,Math,7,B-
197317,Science,6,I
184478,Math,5,I
197319,Science,6,I
80129,Mentor,,
184478,Math,6,I
184995,Mentor,,
197333,Science,6,I
184478,Math,7,I
80131,Mentor,,
188452,Science,7,I
8188,Science,7,I
197339,Science,6,I
72139,Math,7,C-
197343,Science,6,I
177554,English,9,I
197085,Science,7,I
80133,Mentor,,
188452,Mentor,,
177554,Math,7,I
147566,Electives,8,C+
8194,Science,7,C
80135,Mentor,,
177554,Science,6,I
80135,Math,7,B-
68274,English,8,I
147468,English,6,B-
34913,English,10,I
35546,Electives,10,I
96605,Math,6,I
64103,Math,9,B
8194,History,7,A-
80139,Mentor,,
34935,English,10,I
34979,English,10,I
147468,Electives,8,I
72129,English,8,A
80141,Mentor,,
80143,Mentor,,
184811,World Language,7,A
96649,Math,6,N/A
147626,Electives,8,N/A
50105,English,8,B+
179460,English,6,I
8200,English,7,B+
148149,Science,7,I
167303,History,10,I
180313,Science,10,I
180305,Science,10,I
187526,English,5,N/A
80145,Mentor,,
80147,Mentor,,
80149,Mentor,,
57722,English,8,I
64564,History,6,A-
182801,Math,7,I
182801,English,7,I
180105,Science,10,I
147508,English,6,B
180315,Science,10,I
180195,Science,10,I
75654,History,5,B
180093,Science,10,I
80151,Mentor,,
179562,English,6,I
147636,Electives,8,I
180085,Science,10,I
50263,English,8,C
64059,Math,8,C
63647,History,8,B
80153,Mentor,,
188458,English,10,I
196580,Math,7,I
72185,Science,6,A+
147550,Electives,8,N/A
80155,Mentor,,
96761,Math,6,I
180762,Science,10,I
199443,Electives,12,I
180772,Science,10,I
147632,Electives,8,N/A
181867,Science,6,I
147602,Electives,8,I
180776,Science,10,I
180780,Science,10,I
196340,Math,7,I
50963,English,8,A+
72141,History,7,A+
32678,English,9,B
47230,Science,7,A
174981,Math,9,B+
80161,Mentor,,
96929,English,8,C+
80163,Mentor,,
8224,Science,7,C
47238,Science,7,A+
80165,Mentor,,
147488,Electives,8,N/A
187526,English,8,I
47320,Science,7,A-
187526,Electives,10,
8226,History,8,N/A
118672,English,7,I
8194,English,7,B+
118722,English,7,I
80167,Mentor,,
47340,Science,7,A+
80169,Mentor,,
80171,Mentor,,
55226,History,8,C+
64328,History,6,B-
104356,Math,7,I
80167,English,7,C
47358,Science,7,A+
47338,Science,7,A-
8230,English,8,A
80173,Mentor,,
181994,Math,6,I
175881,History,7,I
147434,Electives,8,N/A
188468,Math,6,I
188606,Math,6,I
188563,English,12,I
80175,Mentor,,
153632,Math,8,I
91378,Math,6,A
8230,History,8,N/A
130089,English,6,A-
80175,Math,7,C+
153622,English,8,I
197388,English,7,I
72233,English,6,B-
188469,Math,6,I
72233,Science,6,B
8238,English,8,A
189846,English,9,I
80177,Mentor,,
188472,Math,6,I
147544,Electives,8,N/A
72241,Math,7,A
80179,Mentor,,
95955,Math,7,N/A
158060,Math,8,B
182333,English,6,I
182487,English,6,I
75724,Science,5,I
32878,Science,9,C-
182639,History,11,I
197109,History,7,I
83182,Math,6,I
80181,Mentor,,
86832,History,9,I
96267,Math,7,I
96273,Math,7,I
183274,Science,6,I
170952,Math,8,I
80183,Mentor,,
8244,History,8,N/A
183170,Math,7,B
147458,Electives,8,N/A
175417,History,7,I
80185,Mentor,,
43241,History,6,C+
96351,Math,7,I
157416,Math,8,B
80187,Mentor,,
188480,Math,6,I
50283,Science,7,B
22857,Math,10,I
57732,Science,7,B
188482,Math,6,I
71999,Science,8,A+
181478,History,9,I
